game,source_row_key,cardmarket_product_id,cardmarket_name_raw,missing_fields,recommended_next_step
digimon,00bf957b22e2301a965dba1ed1960128ce1698042096c07f6af5096aaad19904,756200,RustTyrannomon Ace,artwork_variant,Enrich the exact printing/artwork variant before provider matching
digimon,00d6556868cfdc3589eb2199758fc43b5d06b4e526804ccf64a18d02575dedac,769479,GranKuwagamon Ace,artwork_variant,Enrich the exact printing/artwork variant before provider matching
digimon,0127b900d523525db85e8699f17ea8f7e281a1c77dc001b3a764e58adf227918,743722,Imperialdramon Paladin Mode,artwork_variant,Enrich the exact printing/artwork variant before provider matching
digimon,012e26d34e5bfb7f39165bba5231d14907011c1c9309a7041acb48638e8b37a3,885346,Titamon,artwork_variant,Enrich the exact printing/artwork variant before provider matching
digimon,01384a2f20a9055dfdea7fc784a865ab223877b5a58626e431e387b0538916cb,744905,SkullKnightmon,artwork_variant,Enrich the exact printing/artwork variant before provider matching
digimon,0147ab8afbe926bcd0cba3052009706262b8e9952ca3e8c5bb42d22dcde6182e,743343,Herissmon,artwork_variant,Enrich the exact printing/artwork variant before provider matching
digimon,0169b6cd2a4887d2e18c4b0a389a56e2e67bde511f41b38edb09c8a950ab275a,620865,Dorumon,artwork_variant,Enrich the exact printing/artwork variant before provider matching
digimon,01dc9d27a7886e18743cad2fa6f04961a8ceee89232a4274230e4df8fca3bc51,670106,GeoGreymon,artwork_variant,Enrich the exact printing/artwork variant before provider matching
digimon,01e54a98d405892f48f2641b3c6ce2583ad997cd95d6fab69727fcfab7615b97,818301,Titamon,artwork_variant,Enrich the exact printing/artwork variant before provider matching
digimon,02840100ed803a96c1e96c5f1ea7938e94d114b98a4f37d745aef02f5200c0a8,705433,Shoutmon (King Version),artwork_variant,Enrich the exact printing/artwork variant before provider matching
digimon,02969dce77607ee38386283088eed896b9191e1e3f6b4e46fcbe5aecd052e611,786241,RizeGreymon,artwork_variant,Enrich the exact printing/artwork variant before provider matching
digimon,02f79b85b569bd2428cc0abce56667a817f3966405bb29703b5175654ae2351f,785211,Raremon,artwork_variant,Enrich the exact printing/artwork variant before provider matching
digimon,0340c00795dafd13662f6c62f8508790fccc1e302793625fd844ae2493b2d418,793790,Yao Qinglan,artwork_variant,Enrich the exact printing/artwork variant before provider matching
digimon,0432e12f5bdecbea95f3e759add557618cc70f502551416ace2fea16744665ba,620169,Piedmon,artwork_variant,Enrich the exact printing/artwork variant before provider matching
digimon,04ee774daa7c36fa351abd0a2eb200e19a64f78890f344e8a353492e4251e6dc,860898,Karakurumon,artwork_variant,Enrich the exact printing/artwork variant before provider matching
digimon,04f0d69937c92e90f7d25a12ee68f5ddbbe7fae4c1d4d55b98114109797ae1ce,620119,MetalGreymon,artwork_variant,Enrich the exact printing/artwork variant before provider matching
digimon,05839215bc8d8031623aad8f769b8e0601bc06b9d02750b1a3cc23aaef4cf9f8,719321,Omnimon Alter-S,artwork_variant,Enrich the exact printing/artwork variant before provider matching
digimon,05ce6a5869e2fe698b10922fd82dda134027bc36ea66088666113b75cb9a7d7e,696439,BlackWarGreymon (X Antibody),artwork_variant,Enrich the exact printing/artwork variant before provider matching
digimon,05da3387d2baefbbdba2f4a4e423481a56b718944e525414628e236a669d88e8,853018,Hudiemon,artwork_variant,Enrich the exact printing/artwork variant before provider matching
digimon,05e261331f1101db4db4248049fc5f2d7d3cdaa5ccf9dd016da7b8d8317bf7e5,886279,Hidden Potential Discovered!,artwork_variant,Enrich the exact printing/artwork variant before provider matching
digimon,0604f55d180dfe2b400fa88c7238432b56bb942a252ed6bcfcb3161ba7a2671f,835265,Arata Sanada,artwork_variant,Enrich the exact printing/artwork variant before provider matching
digimon,065d2604e337c34f8801db1cbea3cf8bc100428b0a64026bbc8ef6f66928bb95,756188,Cargodramon,artwork_variant,Enrich the exact printing/artwork variant before provider matching
digimon,06699292b4ad310de5f133e853cb96f35ebfddf41e252edb7d2834a099e431c6,785212,Raremon,artwork_variant,Enrich the exact printing/artwork variant before provider matching
digimon,068de821678d441d62f6182949a2861c2ab6e8bbe0554035decdabbfe7ae6ed8,807851,Fenriloogamon: Takemikazuchi Ace,artwork_variant,Enrich the exact printing/artwork variant before provider matching
digimon,06eada02760bc098b3d4177d4897e6ae4f51fee75089bde2f67f13eccf3675eb,722606,King Drasil_7D6,artwork_variant,Enrich the exact printing/artwork variant before provider matching
digimon,06ff2cb9bbd8cc7e0dc17effec976dbac3b5551c8ffaf8df045422907ab8e6e6,886292,GraceNovamon,artwork_variant,Enrich the exact printing/artwork variant before provider matching
digimon,0710fd063a98ea90398d19954adde76631e9e3117b05d6f828bde74728ca968a,789145,Red Memory Boost!,artwork_variant,Enrich the exact printing/artwork variant before provider matching
digimon,073e1bb0c948d878ca786451da3320f3afe17a51a992db1640425ff74390bebe,732757,WarGreymon,artwork_variant,Enrich the exact printing/artwork variant before provider matching
digimon,07abe4749b4dd1e20cac9d019c032b6246f7306a885bb400958a1893d1e5354b,693214,Sakuyamon,artwork_variant,Enrich the exact printing/artwork variant before provider matching
digimon,086f219757f3412799fffb0507aeb826e92037d0943c61105a4b29e3d09656f8,872836,Diaboromon,artwork_variant,Enrich the exact printing/artwork variant before provider matching
digimon,0897c53b3f8d810b1290d010cb6902aa3b72ce7802a68d86567d5d5198044b14,886290,Asuna Shiroki,artwork_variant,Enrich the exact printing/artwork variant before provider matching
digimon,08a268aeaeb4c2dd7d800d0df4b522dcee842e6f50b58fe4dfcb663991012858,854906,Coronamon,artwork_variant,Enrich the exact printing/artwork variant before provider matching
digimon,08d3cb4561114e46812738706804932484c4b63f2e7fb529b47fd6884f2a29ac,650379,WereGarurumon,artwork_variant,Enrich the exact printing/artwork variant before provider matching
digimon,092de5ab7fa231c7f2953de2f3d9c8d496d3284ca33f0a73bc4fbba1b4deb6a2,620647,Omnimon Zwart Defeat,artwork_variant,Enrich the exact printing/artwork variant before provider matching
digimon,097ce53379c8f6bd388cc26cfee788d6dec3ec265f07e8957ac81163a9c810ad,860904,Nokia Shiramine,artwork_variant,Enrich the exact printing/artwork variant before provider matching
digimon,0a47f60ae850c37b4f422b6fd62572d007bf95fb8037854b79546533c9b3438a,755738,Matt Ishida,artwork_variant,Enrich the exact printing/artwork variant before provider matching
digimon,0a55a0e18a10250d2be109a778b30e1e479b9f5b91820b43e71e11c7b8ce15f1,806640,Alphamon: Ouryuken Ace,artwork_variant,Enrich the exact printing/artwork variant before provider matching
digimon,0a842c0efbb45259678adbfac039b581f5b08ce42e6d63bab8cd5330535a765d,872967,Gurimon,artwork_variant,Enrich the exact printing/artwork variant before provider matching
digimon,0b6af9a6c96bfc16b9482af6d3ff7b407f1b4b548a72010a40a18ea39e251228,818302,WarGreymon (X Antibody),artwork_variant,Enrich the exact printing/artwork variant before provider matching
digimon,0bcbf4bf9de8113ab62d44501faf9c37683a73296a145a9f4a5878c5607985d8,873614,Stingmon,artwork_variant,Enrich the exact printing/artwork variant before provider matching
digimon,0beb9f7604558572f60be04ecbf3619fea9560a1faa6d440fe94255663867a2e,786085,HeavyMetaldramon,artwork_variant,Enrich the exact printing/artwork variant before provider matching
digimon,0c2d9729b6b59c14cadf0d1587e96ff88b29d6e4a58e5eed97d3dc55818f31c8,716125,MetalGreymon,artwork_variant,Enrich the exact printing/artwork variant before provider matching
digimon,0c88fabad2d5237fa4b5fd78ffa3e69528b44f505fb17c70677caa89b6c4e966,755740,Izzy Izumi,artwork_variant,Enrich the exact printing/artwork variant before provider matching
digimon,0da8ad987d875597b00e320dd666f56fbc65b75a3df1f805109e679f03ea9e77,862856,Offense Training,artwork_variant,Enrich the exact printing/artwork variant before provider matching
digimon,0e1909c46600dfe4b043f971f1fc0228ad3c57ae541f02b9121907135ab49815,793699,Duskmon,artwork_variant,Enrich the exact printing/artwork variant before provider matching
digimon,0e848231779e8213029a41c6ef78e33703ca3045d36a18af5f0ccb37cc45b1f6,779729,Omnimon Ace,artwork_variant,Enrich the exact printing/artwork variant before provider matching
digimon,0ea1abbd516251e0a45c6e59369c184cdb108dbe13ea78571432ddd4d69018af,775391,Mirei Mikagura,artwork_variant,Enrich the exact printing/artwork variant before provider matching
digimon,0ec20e655d41da8f2ed246e02c283b245b24b737444923840c5d870b9fb97488,775347,Mastemon Ace,artwork_variant,Enrich the exact printing/artwork variant before provider matching
